 TIME                                   	Q_Abwaerme                              	
 HOURS              	NAV                 	
  +6.7500000000000000E+01	  +2.1721492755411525E+01	
  +6.7750000000000000E+01	  +2.1777094557127153E+01	
  +6.8000000000000000E+01	  +2.2955705033094489E+01	
  +6.8250000000000000E+01	  +2.3103478715735207E+01	
  +6.8500000000000000E+01	  +2.2087920509595733E+01	
  +6.8750000000000000E+01	  +2.2116318057286062E+01	
  +6.9000000000000000E+01	  +2.3141040828048119E+01	
  +6.9250000000000000E+01	  +2.4163898421841594E+01	
  +6.9500000000000000E+01	  +2.4222073869523150E+01	
  +6.9750000000000000E+01	  +2.4302742257983081E+01	
  +7.0000000000000000E+01	  +2.3596023359418872E+01	
  +7.0250000000000000E+01	  +2.2720742528910002E+01	
  +7.0500000000000000E+01	  +2.2641987307508895E+01	
  +7.0750000000000000E+01	  +2.2735571557569163E+01	
  +7.1000000000000000E+01	  +2.3827316868473982E+01	
  +7.1250000000000000E+01	  +2.4916780978619940E+01	
  +7.1500000000000000E+01	  +2.5008469615016715E+01	
  +7.1750000000000000E+01	  +2.5064377350681152E+01	
  +7.2000000000000000E+01	  +2.5852414121938622E+01	
  +7.2250000000000000E+01	  +2.6595794855706746E+01	
  +7.2500000000000000E+01	  +2.6520685435065278E+01	
  +7.2750000000000000E+01	  +2.6463630890342859E+01	
  +7.3000000000000000E+01	  +2.7113044620625818E+01	
  +7.3250000000000000E+01	  +2.7783442304140131E+01	
  +7.3500000000000000E+01	  +2.7787651633925520E+01	
  +7.3750000000000000E+01	  +2.7791384607094255E+01	
  +7.4000000000000000E+01	  +2.8380339284934216E+01	
  +7.4250000000000000E+01	  +2.8960706648080588E+01	
  +7.4500000000000000E+01	  +2.8954018449803325E+01	
  +7.4750000000000000E+01	  +2.8937310546901905E+01	
  +7.5000000000000000E+01	  +2.9395716345155162E+01	
  +7.5250000000000000E+01	  +2.9840697767679536E+01	
  +7.5500000000000000E+01	  +2.9786111983215459E+01	
  +7.5750000000000000E+01	  +2.9747203137280088E+01	
  +7.6000000000000000E+01	  +3.0153257555050903E+01	
  +7.6250000000000000E+01	  +5.3053436098076098E+01	
  +7.6500000000000000E+01	  +7.6455308597453438E+01	
  +7.6750000000000000E+01	  +7.7393803033713681E+01	
  +7.7000000000000000E+01	  +7.6241547371401765E+01	
  +7.7250000000000000E+01	  +7.6701995423624211E+01	
  +7.7500000000000000E+01	  +7.8513613428230812E+01	
  +7.7750000000000000E+01	  +7.8690249955720915E+01	
  +7.8000000000000000E+01	  +7.6759592755079652E+01	
  +7.8250000000000000E+01	  +8.3048044775774571E+01	
  +7.8500000000000000E+01	  +9.1207882581641812E+01	
  +7.8750000000000000E+01	  +9.1088049182436507E+01	
  +7.9000000000000000E+01	  +9.0186114542132643E+01	
  +7.9250000000000000E+01	  +8.8637658075285259E+01	
  +7.9500000000000000E+01	  +8.7865266842160636E+01	
  +7.9750000000000000E+01	  +8.7610828963994209E+01	
  +8.0000000000000000E+01	  +8.5976122144692553E+01	
  +8.0250000000000000E+01	  +8.4217397621265903E+01	
  +8.0500000000000000E+01	  +8.3668360089418201E+01	
  +8.0750000000000000E+01	  +8.3244257596658741E+01	
  +8.1000000000000000E+01	  +8.2635048379968680E+01	
  +8.1250000000000000E+01	  +8.1870656321828065E+01	
  +8.1500000000000000E+01	  +8.0854124306907536E+01	
  +8.1750000000000000E+01	  +8.0168794993206035E+01	
  +8.2000000000000000E+01	  +7.9223453971314356E+01	
  +8.2250000000000000E+01	  +7.8045132747466681E+01	
  +8.2500000000000000E+01	  +7.7800302926342738E+01	
  +8.2750000000000000E+01	  +7.7643858131738213E+01	
  +8.3000000000000000E+01	  +7.6378789582965155E+01	
  +8.3250000000000000E+01	  +7.5789880597420947E+01	
  +8.3500000000000000E+01	  +7.6555648511359706E+01	
  +8.3750000000000000E+01	  +7.6322689818369952E+01	
  +8.4000000000000000E+01	  +7.4928818176750781E+01	
  +8.4250000000000000E+01	  +7.3667630359521368E+01	
  +8.4500000000000000E+01	  +7.3151546095497949E+01	
  +8.4750000000000000E+01	  +7.3030856372480656E+01	
  +8.5000000000000000E+01	  +7.2593852469131477E+01	
  +8.5250000000000000E+01	  +7.1987598877698971E+01	
  +8.5500000000000000E+01	  +7.1474628578892478E+01	
  +8.5750000000000000E+01	  +7.1017605199881118E+01	
  +8.6000000000000000E+01	  +7.0247807711559318E+01	
  +8.6250000000000000E+01	  +7.0203714597511549E+01	
  +8.6500000000000000E+01	  +7.0744692218088176E+01	
  +8.6750000000000000E+01	  +7.0769567487304926E+01	
  +8.7000000000000000E+01	  +7.0616552360703736E+01	
  +8.7250000000000000E+01	  +7.0287151180707014E+01	
  +8.7500000000000000E+01	  +7.0732577520603044E+01	
  +8.7750000000000000E+01	  +7.1454113589131637E+01	
  +8.8000000000000000E+01	  +7.1496443688025451E+01	
  +8.8250000000000000E+01	  +7.0986632486762446E+01	
  +8.8500000000000000E+01	  +7.1210347592780707E+01	
  +8.8750000000000000E+01	  +7.1803963581368663E+01	
  +8.9000000000000000E+01	  +7.1977838370955112E+01	
  +8.9250000000000000E+01	  +7.2604578249426126E+01	
  +8.9500000000000000E+01	  +7.2613208492337620E+01	
  +8.9750000000000000E+01	  +7.2055277451705663E+01	
  +9.0000000000000000E+01	  +7.1908978233122525E+01	
  +9.0250000000000000E+01	  +7.1828328305737713E+01	
  +9.0500000000000000E+01	  +7.1923262505826784E+01	
  +9.0750000000000000E+01	  +7.1942708229576013E+01	
  +9.1000000000000000E+01	  +4.7561221130924388E+01	
  +9.1250000000000000E+01	  +2.2229461060411097E+01	
