 TIME                                   	Q_Abwaerme                              	
 HOURS              	NAV                 	
  +8.6750000000000000E+01	  +4.5046078100739258E+01	
  +8.7000000000000000E+01	  +4.5089675096496258E+01	
  +8.7250000000000000E+01	  +4.5261459848816607E+01	
  +8.7500000000000000E+01	  +4.5861253457001609E+01	
  +8.7750000000000000E+01	  +4.6292365873978788E+01	
  +8.8000000000000000E+01	  +4.6369495228781481E+01	
  +8.8250000000000000E+01	  +4.6030890342479609E+01	
  +8.8500000000000000E+01	  +4.5900584037548242E+01	
  +8.8750000000000000E+01	  +4.6595861779005958E+01	
  +8.9000000000000000E+01	  +4.7139546929483018E+01	
  +8.9250000000000000E+01	  +4.7198094848064017E+01	
  +8.9500000000000000E+01	  +4.7285493038473945E+01	
  +8.9750000000000000E+01	  +4.7369167675468447E+01	
  +9.0000000000000000E+01	  +4.7470303893581942E+01	
  +9.0250000000000000E+01	  +4.7533181146265996E+01	
  +9.0500000000000000E+01	  +4.7503150908347649E+01	
  +9.0750000000000000E+01	  +4.7422932441175845E+01	
  +9.1000000000000000E+01	  +2.8324239821516269E+01	
  +9.1250000000000000E+01	  +9.2017171031313580E+00	
  +9.1500000000000000E+01	  +9.1250927760707370E+00	
  +9.1750000000000000E+01	  +9.1028709078774526E+00	
  +9.2000000000000000E+01	  +9.2332390890366121E+00	
  +9.2250000000000000E+01	  +8.3436436286328401E+00	
  +9.2500000000000000E+01	  +7.2833994671431554E+00	
  +9.2750000000000000E+01	  +7.2475238012106029E+00	
  +9.3000000000000000E+01	  +7.3042072561477633E+00	
  +9.3250000000000000E+01	  +7.3619178888753947E+00	
  +9.3500000000000000E+01	  +7.3393750730475880E+00	
  +9.3750000000000000E+01	  +7.3241673952793160E+00	
  +9.4000000000000000E+01	  +6.8249674386905701E+00	
  +9.4250000000000000E+01	  +6.3294758165342726E+00	
  +9.4500000000000000E+01	  +6.3225041466172511E+00	
  +9.4750000000000000E+01	  +6.3223317452875456E+00	
  +9.5000000000000000E+01	  +6.4802792750700453E+00	
  +9.5250000000000000E+01	  +6.6455808919704173E+00	
  +9.5500000000000000E+01	  +6.6690118671983445E+00	
  +9.5750000000000000E+01	  +6.6850997923706492E+00	
  +9.6000000000000000E+01	  +6.8052154797078055E+00	
  +9.6250000000000000E+01	  +6.9178003285875995E+00	
  +9.6500000000000000E+01	  +6.9104624244086894E+00	
  +9.6750000000000000E+01	  +6.9020749233272856E+00	
  +9.7000000000000000E+01	  +7.0234242830555704E+00	
  +9.7250000000000000E+01	  +7.1442135328942991E+00	
  +9.7500000000000000E+01	  +7.1345524337566157E+00	
  +9.7750000000000000E+01	  +7.1277856672320334E+00	
  +9.8000000000000000E+01	  +7.2402762963256402E+00	
  +9.8250000000000000E+01	  +7.3545756381314309E+00	
  +9.8500000000000000E+01	  +7.3542369477098593E+00	
  +9.8750000000000000E+01	  +7.3429266610425294E+00	
  +9.9000000000000000E+01	  +7.4118075303529150E+00	
  +9.9250000000000000E+01	  +7.4688365450927270E+00	
  +9.9500000000000000E+01	  +7.4227843962185442E+00	
  +9.9750000000000000E+01	  +7.3886272382825622E+00	
  +1.0000000000000000E+02	  +7.4697055506747629E+00	
  +1.0025000000000000E+02	  +2.5976703614810756E+01	
  +1.0050000000000000E+02	  +4.4627128005644650E+01	
  +1.0075000000000000E+02	  +4.4882809655590066E+01	
  +1.0100000000000000E+02	  +4.3961003091736991E+01	
  +1.0125000000000000E+02	  +4.4155398961509221E+01	
  +1.0150000000000000E+02	  +4.5421939794868848E+01	
  +1.0175000000000000E+02	  +4.5532864548151679E+01	
  +1.0200000000000000E+02	  +4.4009293508126241E+01	
  +1.0225000000000000E+02	  +4.9286977543839491E+01	
  +1.0250000000000000E+02	  +5.6035640098191671E+01	
  +1.0275000000000000E+02	  +5.5962131944041566E+01	
  +1.0300000000000000E+02	  +5.4727005558321018E+01	
  +1.0325000000000000E+02	  +5.3525998132295264E+01	
  +1.0350000000000000E+02	  +5.3510181282638797E+01	
  +1.0375000000000000E+02	  +5.3450827543666925E+01	
  +1.0400000000000000E+02	  +5.2381765113082736E+01	
  +1.0425000000000000E+02	  +5.1211483357752421E+01	
  +1.0450000000000000E+02	  +5.0847088396706688E+01	
  +1.0475000000000000E+02	  +5.0375300978013215E+01	
  +1.0500000000000000E+02	  +5.0051723644709696E+01	
  +1.0525000000000000E+02	  +4.9468817332236611E+01	
  +1.0550000000000000E+02	  +4.8835162456739312E+01	
  +1.0575000000000000E+02	  +4.8509298646571125E+01	
  +1.0600000000000000E+02	  +4.6996354287541543E+01	
  +1.0625000000000000E+02	  +4.5544367131049810E+01	
  +1.0650000000000000E+02	  +4.5013102544695521E+01	
  +1.0675000000000000E+02	  +4.4221639421704211E+01	
  +1.0700000000000000E+02	  +4.2483470253062279E+01	
  +1.0725000000000000E+02	  +4.0966736559651309E+01	
  +1.0750000000000000E+02	  +4.0582735203153895E+01	
  +1.0775000000000000E+02	  +4.0342747548685466E+01	
  +1.0800000000000000E+02	  +3.9720622478905483E+01	
  +1.0825000000000000E+02	  +3.9097058266310739E+01	
  +1.0850000000000000E+02	  +3.9043469841524825E+01	
  +1.0875000000000000E+02	  +3.8992069252919912E+01	
  +1.0900000000000000E+02	  +3.8361183321939130E+01	
  +1.0925000000000000E+02	  +3.7423279758557825E+01	
  +1.0950000000000000E+02	  +3.6960314162562021E+01	
  +1.0975000000000000E+02	  +3.6885171582341798E+01	
