  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\9_k
 altes_Nahwaermenetz\V1_2_5\III_kaltes_Nahwaermenetz.dck                       
                                                                               
                                                                   
 Initiated at time: 2025-01-11 AT  10:15:26
 TIME                                   ,Q_th_SW_WP                              ,Q_el_SW_WP                              ,
  +6.9750000000000000E+01,  +1.6946526296760300E+01,  +1.1086897199668968E+00,
  +7.0000000000000000E+01,  +1.6184795768356690E+01,  +1.0588551526085417E+00,
  +7.0250000000000000E+01,  +1.5420102838569569E+01,  +1.0088267765661652E+00,
  +7.0500000000000000E+01,  +1.5558117144939761E+01,  +1.0178560631586773E+00,
  +7.0750000000000000E+01,  +1.5698779216945489E+01,  +1.0270585740739562E+00,
  +7.1000000000000000E+01,  +1.6235164284658524E+01,  +1.0621504035204945E+00,
  +7.1250000000000000E+01,  +1.6782386539304998E+01,  +1.0979512324124685E+00,
  +7.1500000000000000E+01,  +1.6945476297203253E+01,  +1.1086210260236968E+00,
  +7.1750000000000000E+01,  +1.7039357246511930E+01,  +1.1147629834712924E+00,
  +7.2000000000000000E+01,  +1.7342275594314657E+01,  +1.1345807592394417E+00,
  +7.2250000000000000E+01,  +1.7572893451955185E+01,  +1.1496684322840185E+00,
  +7.2500000000000000E+01,  +1.7452752320536984E+01,  +1.1418084593895135E+00,
  +7.2750000000000000E+01,  +1.7366832163916854E+01,  +1.1361873195337961E+00,
  +7.3000000000000000E+01,  +1.7679556170756186E+01,  +1.1566466092724788E+00,
  +7.3250000000000000E+01,  +1.8029874156981531E+01,  +1.1795654035578773E+00,
  +7.3500000000000000E+01,  +1.8048920882050865E+01,  +1.1808114942264671E+00,
  +7.3750000000000000E+01,  +1.8063984436859034E+01,  +1.1817969946216229E+00,
  +7.4000000000000000E+01,  +1.8426258238030286E+01,  +1.2054979721634735E+00,
  +7.4250000000000000E+01,  +1.8787027541928005E+01,  +1.2291005212349893E+00,
  +7.4500000000000000E+01,  +1.8800069949685543E+01,  +1.2299537924689390E+00,
